locationNumber,name,yiddishName,region
52381,Yelets,Jélic,P - (Northern) Poland
53072,Papenburg ,,"W - Austria, Czechoslovakia, Germany, Holland"
53074,Emden ,,"W - Austria, Czechoslovakia, Germany, Holland"
53075,Aurich ,,"W - Austria, Czechoslovakia, Germany, Holland"
53096,Altona,,"W - Austria, Czechoslovakia, Germany, Holland"
53109,Lübeck ,,"W - Austria, Czechoslovakia, Germany, Holland"
53145,Stettin,,"W - Austria, Czechoslovakia, Germany, Holland"
53146,Gollnow,,"W - Austria, Czechoslovakia, Germany, Holland"
53162,Schönlanke,,"W - Austria, Czechoslovakia, Germany, Holland"
53163,Schneidemühl,,"W - Austria, Czechoslovakia, Germany, Holland"
53175,Chojnice,,"W - Austria, Czechoslovakia, Germany, Holland"
53181,Bydgoszcz (Bromberg) ,,"W - Austria, Czechoslovakia, Germany, Holland"
53186,Grudziądz (Graudenz) ,,"W - Austria, Czechoslovakia, Germany, Holland"
53191,Dobrzyn,Dobrín,P - (Northern) Poland
53192,Brodnica (Strasburg) ,,"W - Austria, Czechoslovakia, Germany, Holland"
53193,Żuromin ,Žorəmín,P - (Northern) Poland
53202,Mława ,Mlávə,P - (Northern) Poland
53203,Chorzele ,Xóržl,P - (Northern) Poland
53204,Gilgenburg,,"W - Austria, Czechoslovakia, Germany, Holland"
53211,Krasnosielc ,Šilc,P - (Northern) Poland
53212,Ostrolęka ,Ostrəlénkə,P - (Northern) Poland
53215,Myszyniec ,Míšnic,P - (Northern) Poland
53216,Kolno ,Kól’nə,P - (Northern) Poland
53221,Łomża ,Lómzə,P - (Northern) Poland
53223,Tykocin ,Tiktín,C - Northern Belorus
53224,Szczuczyn ,Stučín,P - (Northern) Poland
53225,Trzcianne ,Tréstinə,C - Northern Belorus
53228,Grajewo,Grájvi,P - (Northern) Poland
53231,Białystok ,Bjálistok,C - Northern Belorus
53235,Sokółka,Səkólkə,D - Lithuania
53236,Indura,Amdúr,D - Lithuania
53238,Lipsk,Lipsk,D - Lithuania
53239,Grodno,Gródni/Haródni,D - Lithuania
53241,Brzostowica Wielka (wielka ’big’),Grejsbrəstovic (grejs ’big’) ,D - Lithuania
53243,Zelwa,Zélvi,C - Northern Belorus
53248,Ostryna,Astrín,D - Lithuania
53249,Wasiliszki,Vasíləšok,D - Lithuania
53251,Kozłowszczyna,Kazlójščinə,C - Northern Belorus
53252,Mołczadz,Méjčət,C - Northern Belorus
53255,Dworec,Dvóric,C - Northern Belorus
53257,Lida,Lídə,C - Northern Belorus
53259,Iwje,Íviə,C - Northern Belorus
53261,Lachowicze,Léxəvič,C - Northern Belorus
53262,Nieświez,Néšvic,C - Northern Belorus
53264,Korelcze,Karélič,C - Northern Belorus
53265,Stołpce,Stejpc,C - Northern Belorus
53270,Koydanovo,Kójdənəv,C - Northern Belorus
53271,Romanovo,Románəvə,C - Northern Belorus
53272,Slutsk,Sluck,C - Northern Belorus
53274,Uzda,Úzdə,C - Northern Belorus
53277,Raków,Rákəv,C - Northern Belorus
53278,Samokhvalovichi,Samaxválovič,C - Northern Belorus
53279,Minsk,Minsk,C - Northern Belorus
53282,Nove-Dorogi,Novədaró,C - Northern Belorus
53286,Svisloch,Sísləvič,C - Northern Belorus
53289,Berezino,Barézn,C - Northern Belorus
53291,Bobruysk,Babrójsk,C - Northern Belorus
53295,Klichev,Klíčəv,C - Northern Belorus
53306,Gayshin,Hájšin,C - Northern Belorus
53309,Chausy,Čavús,C - Northern Belorus
53315,Krasnopolye,Krasnəpóljə,C - Northern Belorus
53323,Mglin,Amlín,C - Northern Belorus
54161,Köslin,,"W - Austria, Czechoslovakia, Germany, Holland"
54181,Danzig,,"W - Austria, Czechoslovakia, Germany, Holland"
54208,Königsberg,,"W - Austria, Czechoslovakia, Germany, Holland"
54222,Przerośl,Pšərósljə,D - Lithuania
54226,Virbalis,Verbəlóvə ,D - Lithuania
54229,Naumiestis,Nájštot (naj ’new’ štot ‘city’),D - Lithuania
54233,Veisiejai,Višéj,D - Lithuania
54234,Vilkaviškis,Volkovisk,D - Lithuania
54236,Prienai,Pren,D - Lithuania
54239,Kaunas,Kóvnə,D - Lithuania
54241,Liškiava,Lískəvi,D - Lithuania
54244,Jieznas,Jésnə,D - Lithuania
54249,Musninkai,Múšnik,D - Lithuania
54253,Traby,Trab,D - Lithuania
54256,Oszmiana,Óšmənə,D - Lithuania
54257,Wilno,Vílnə,D - Lithuania
54259,Kiemieliszki,Kamélišok,D - Lithuania
54260,Wilejka,Viléjkə,D - Lithuania
54262,Wolożyn,Valóžn,D - Lithuania
54265,Smorgonie,Smargón,D - Lithuania
54266,Kurzeniec,Kúrənic,C - Northern Belorus
54271,Radoszkowiczy,Radoškóvič,C - Northern Belorus
54273,Logojsk,Lahójsk,C - Northern Belorus
54278,Budsław,Bujd,D - Lithuania
54279,Dokszyce,Dókšic,D - Lithuania
54282,Borisov,Barísəv,C - Northern Belorus
54284,Zembin,Žébm,C - Northern Belorus
54289,Lepel,L’épl,C - Northern Belorus
54291,Bobr,Bóbər,C - Northern Belorus
54292,Sloveni,Slovján,C - Northern Belorus
54297,Chashniki,Cášnik,C - Northern Belorus
54301,Shklov,Šklov,C - Northern Belorus
54305,Orsha,Óršə,C - Northern Belorus
54372,Tula,Túla,C - Northern Belorus
55216,Rietavas,Rítəvə,D - Lithuania
55218,Gargždai,Gorzd,D - Lithuania
55221,Tauragè,Táurig,D - Lithuania
55223,Jurbarkas,Júrbarik,D - Lithuania
55224,Kvédarna,Xvejdán,D - Lithuania
55226,Kražiai,Krózə,D - Lithuania
55233,Kedainiai,Kejdán,D - Lithuania
55236,Krakes,Krok,D - Lithuania
55237,Siauliai,Šávl,D - Lithuania
55241,Jonava,Jánəvə,D - Lithuania
55244,Ramigala,Raməgólə,D - Lithuania
55248,Panėvežys,Pónjəvəz,D - Lithuania
55249,Kupiškis,Kúpišok,D - Lithuania
55252,Molėtai,Malát,D - Lithuania
55254,Anykščiai,Aníkšt,D - Lithuania
55257,Šimonys,Šimánčə,D - Lithuania
55258,Rokiškis,Rákišok,D - Lithuania
55261,Święcjany Švenčionys,Svencján,D - Lithuania
55263,Postawy,Póstəv,D - Lithuania
55267,Zarasai (Novo-Aleksandrovsk),Novoaləksandróvsk,D - Lithuania
55268,Daugavpils (Dünaburg),Dénəborg,D - Lithuania
55271,Dunilowicze,Dunílovič,D - Lithuania
55273,Głębokie,Glubók,D - Lithuania
55277,Krāslava,Krəslávə,D - Lithuania
55281,Kublichi,Kúblic,C - Northern Belorus
55286,Polotsk,Pólock,C - Northern Belorus
55292,Beshenkovichi,Bəšénkovič,C - Northern Belorus
55301,Vitebsk,Vicjépsk,C - Northern Belorus
55303,Kolyshki,Kolíšk,C - Northern Belorus
55311,Mikulino,Məkúlinə,C - Northern Belorus
55329,Belyy,Bjélo,C - Northern Belorus
56214,Liepāja,Ləpáj,D - Lithuania
56221,Alsėdžiai,Alčód,D - Lithuania
56223,Kuršėnai,Kuršán,D - Lithuania
56225,Saldus (Frauenburg),Fráumburg,J - Courland
56227,Jaunmuiža (Neuhof),Nájhof,D - Lithuania
56243,Biržai,Birz,D - Lithuania
56244,"(near Janiszlei, Linkovy, Zejmele)",Kámədrec,D - Lithuania
56247,Sarkan-Daugava (sarkan ’red’ Daugava [name of river]),Réjtə-dínə (réjtə ’red’ Dínə [name of river]),J - Courland
56251,Pandėlys,Ponídəl,C - Northern Belorus
56253,Subata,Súbat,C - Northern Belorus
56254,Jaunjelgava (jaun ’new’),Najrí (naj ’new’),C - Northern Belorus
56256,Krustpils (Kreuzburg),Krísborg,C - Northern Belorus
56266,Viļāni,Viljón,C - Northern Belorus
56274,Rezekne,Rezícə,C - Northern Belorus
56276,Ludza,Ljucín,C - Northern Belorus
56281,Osveya,Ósvə,C - Northern Belorus
56293,Nevel’,Nevél,C - Northern Belorus
57212,Piltene,Píltn,J - Courland
57222,Talsi,Tálsn,J - Courland
57401,Yaroslav,Jároslav,C - Northern Belorus
58265,Tartu (Dorpat),Dérpət,J - Courland
