locationNumber,name,yiddishName,region
48247,Dolina,Dólənə,G - Eastern Galicia
48248,Stanislawów,Stánislə,G - Eastern Galicia
48250,Tłuste,Toust,T - Transcarpathia
48251,Rostochi,Róstik,T - Transcarpathia
48253,Storojineţ,Stróžinic,T - Transcarpathia
48254,Kołomyja,Kiləmáj,G - Eastern Galicia
48256,Zviniace,Zvinjéčkə,G - Eastern Galicia
48257,Zviniace,Zvinjéčkə,G - Eastern Galicia
48259,Jagielnica,Jigólnic,G - Eastern Galicia
48260,Kitaygorod,Kitárəd ,T - Transcarpathia
48261,Noua Suliţa,Novəséləc,T - Transcarpathia
48263,Lipcani,Lipkón,V - Northern Ukraine
48265,Hotin,Xetín,X - Southern Ukraine and Rumania
48266,Kamentes Podol’sky,Kómənic,X - Southern Ukraine and Rumania
48267,Skała,Skálə,X - Southern Ukraine and Rumania
48268,Shatava,Štóvə,X - Southern Ukraine and Rumania
48272,Briceva,Bríčəvə,X - Southern Ukraine and Rumania
48274,Briceni,Bričón,X - Southern Ukraine and Rumania
48276,Ozarintsy,Azárinic,X - Southern Ukraine and Rumania
48277,Staray Ušica,Íšicə,X - Southern Ukraine and Rumania
48280,Zguriţa,Zgúricə,X - Southern Ukraine and Rumania
48281,Soroca,Serókə,X - Southern Ukraine and Rumania
48283,Peschanka,Piščónkə,X - Southern Ukraine and Rumania
48284,Dzygovka,Dzigóvkə,X - Southern Ukraine and Rumania
48286,Tul’chin,Tolčín,X - Southern Ukraine and Rumania
48288,Krasnoye,Krósnə,X - Southern Ukraine and Rumania
48289,Nemirov,Néməref,X - Southern Ukraine and Rumania
48292,Bershad,Béršət,X - Southern Ukraine and Rumania
48293,Peschana,Piščón,X - Southern Ukraine and Rumania
48294,Verkhovka,Verxívkə,X - Southern Ukraine and Rumania
48296,Teplik,Teplík,X - Southern Ukraine and Rumania
48297,Gaysin,Hájsin,X - Southern Ukraine and Rumania
48300,Tri Dubi,Trdúbəs,X - Southern Ukraine and Rumania
48302,Golosvoko,Oləskóv,X - Southern Ukraine and Rumania
48309,Tal’noye,Tólnə,X - Southern Ukraine and Rumania
48311,Lyubomirka,Libəmírkə,X - Southern Ukraine and Rumania
48324,Kirovograd (Yelizavetgrad),Jolosvét,X - Southern Ukraine and Rumania
48337,Aleksandriya,Aləksandrí,X - Southern Ukraine and Rumania
48354,Denpropetrovsk (Yekaterinoslav),Katərinəsláv,X - Southern Ukraine and Rumania
49061,Hayange,Hajíngə,A - Alsace
49063,Differten,,"W - Austria, Czechoslovakia, Germany, Holland"
49064,Luxembourg,,"W - Austria, Czechoslovakia, Germany, Holland"
49065,Kirf,,"W - Austria, Czechoslovakia, Germany, Holland"
49075,Meisenheim,,"W - Austria, Czechoslovakia, Germany, Holland"
49077,Bernkastel-Cues,,"W - Austria, Czechoslovakia, Germany, Holland"
49079,Bad Kreuznach,,"W - Austria, Czechoslovakia, Germany, Holland"
49080,Alzey,,"W - Austria, Czechoslovakia, Germany, Holland"
49081,Rülzheim,,"W - Austria, Czechoslovakia, Germany, Holland"
49082,Langenbrücken,,"W - Austria, Czechoslovakia, Germany, Holland"
49087,Mainz,,"W - Austria, Czechoslovakia, Germany, Holland"
49089,Hergershausen,,"W - Austria, Czechoslovakia, Germany, Holland"
49091,Heilbronn,,"W - Austria, Czechoslovakia, Germany, Holland"
